,Instrument,RIC,Company Common Name,GICS Sector Name
0,AXAF.PA,AXAF.PA,AXA SA,Financials
1,CVXC.PA,CVXC.PA,Carvolix,Health Care
2,AUBT.PA,AUBT.PA,Aubay SA,Information Technology
3,CLARI.PA,CLARI.PA,Clariane SE,Health Care
4,MDM.PA,MDM.PA,Maisons du Monde SA,Consumer Discretionary
5,COFA.PA,COFA.PA,Coface SA,Financials
6,SOLB.BR,SOLB.BR,Solvay SA,Materials
7,BOND.PA,BOND.PA,Bonduelle SA,Consumer Staples
8,QDT.PA,QDT.PA,Quadient SA,Information Technology
9,AVOM.PA,AVOM.PA,Avenir Telecom SA,Consumer Discretionary
10,ATEME.PA,ATEME.PA,Ateme SA,Information Technology
11,IPAR.PA,IPAR.PA,Interparfums SA,Consumer Staples
12,AKE.PA,AKE.PA,Arkema SA,Materials
13,LBIRD.PA,LBIRD.PA,Lumibird SA,Information Technology
14,ELIOR.PA,ELIOR.PA,Elior Group SA,Consumer Discretionary
15,MAAT.PA,MAAT.PA,Maat Pharma SA,Health Care
16,SASY.PA,SASY.PA,Sanofi SA,Health Care
17,ARAMI.PA,ARAMI.PA,Aramis Group SA,Consumer Discretionary
18,NAE.PA,NAE.PA,North Atlantic Energies SA,Energy
19,HRMS.PA,HRMS.PA,Hermes International SCA,Consumer Discretionary
20,LDSV.PA,LDSV.PA,Linedata Services SA,Information Technology
21,VLTZ.PA,VLTZ.PA,Graines Voltz SA,Consumer Discretionary
22,TRIA.PA,TRIA.PA,Trigano SA,Consumer Discretionary
23,EKI.PA,EKI.PA,Ekinops SA,Information Technology
24,SPIE.PA,SPIE.PA,Spie SA,Industrials
25,STLAM.PA,STLAM.PA,Stellantis NV,Consumer Discretionary
26,LTEN.PA,LTEN.PA,Alten SA,Information Technology
27,EGAB.PA,EGAB.PA,TotalEnergies EP Gabon,Energy
28,STMPA.PA,STMPA.PA,STMicroelectronics NV,Information Technology
29,IVAA.PA,IVAA.PA,Inventiva SA,Health Care
30,COHE.PA,COHE.PA,Coheris SA,Information Technology
31,LVMH.PA,LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary
32,ABEO.PA,ABEO.PA,Abeo SA,Consumer Discretionary
33,DANO.PA,DANO.PA,Danone SA,Consumer Staples
34,NACON.PA,NACON.PA,Nacon SAS,Consumer Discretionary
35,AELIS.PA,AELIS.PA,Aelis Farma SA,Health Care
