#VALUE!;;Controversies Customer Health & Safety;Controversies Responsible R&D;Controversies Privacy;Controversies Responsible Marketing;Controversies Product Access;Environmental Controversies Count;Diversity and Opportunity Controversies;Employees Health & Safety Controversies;Child Labor Controversies;Human Rights Controversies;Public Health Controversies;Tax Fraud Controversies;Critical Countries Controversies
BNPP.PA;31/12/2021;0;0;0;0;0;1;0;0;0;0;0;0;0
BNPP.PA;31/12/2020;0;0;0;0;0;0;0;0;0;0;0;0;0
BNPP.PA;31/12/2019;0;0;0;0;0;0;2;0;0;0;0;0;2
BNPP.PA;31/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0
BNPP.PA;31/12/2017;0;0;1;0;0;0;0;0;0;0;0;0;0
BNPP.PA;31/12/2016;0;0;0;0;0;0;0;0;0;0;0;0;0
BNPP.PA;31/12/2015;0;0;0;0;0;0;0;0;0;0;0;1;0
BNPP.PA;31/12/2014;0;0;0;0;0;0;0;0;0;0;0;0;2
BNPP.PA;31/12/2013;0;0;0;0;0;0;0;0;0;0;0;0;0
BNPP.PA;31/12/2012;0;0;1;0;0;0;0;0;0;0;0;0;0
BNPP.PA;31/12/2011;0;0;0;1;0;0;1;0;0;0;0;0;0
BNPP.PA;31/12/2010;0;0;0;1;0;0;0;0;0;0;0;0;0
BNPP.PA;31/12/2009;0;0;0;0;0;0;0;0;0;0;0;0;0
BNPP.PA;31/12/2008;0;0;0;0;0;0;0;0;0;0;0;0;1
BNPP.PA;31/12/2007;0;0;0;0;0;0;0;0;0;0;0;0;0
BNPP.PA;31/12/2006;0;0;0;0;0;0;0;0;0;0;0;1;0
BNPP.PA;31/12/2005;0;0;0;0;0;0;0;0;0;0;0;0;0
BNPP.PA;31/12/2004;0;0;0;0;0;0;0;0;0;0;0;0;0
BNPP.PA;31/12/2003;0;0;0;0;0;0;0;0;0;0;0;0;0
BNPP.PA;31/12/2002;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2021;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2020;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2019;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2018;0;0;1;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2017;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2016;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2015;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2014;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2013;1;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2012;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2011;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2010;0;0;0;0;0;0;0;1;0;0;0;0;0
SCHN.PA;31/12/2009;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2008;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2007;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2006;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2005;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2004;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHN.PA;31/12/2003;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2021;0;0;0;0;0;0;0;0;0;0;1;0;0
SGOB.PA;31/12/2020;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2019;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2017;0;0;1;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2016;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2015;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2014;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2013;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2012;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2011;0;0;0;0;0;0;0;1;0;0;0;0;0
SGOB.PA;31/12/2010;0;0;0;0;0;0;0;1;0;0;0;0;0
SGOB.PA;31/12/2009;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2008;0;0;0;0;0;0;0;1;0;0;0;0;0
SGOB.PA;31/12/2007;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2006;0;0;0;0;0;0;0;1;0;0;0;0;0
SGOB.PA;31/12/2005;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2004;0;0;0;0;0;0;0;0;0;0;0;0;0
SGOB.PA;31/12/2003;0;0;0;0;0;0;0;1;0;0;0;0;0
SGOB.PA;31/12/2002;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2021;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2020;0;0;1;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2019;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2017;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2016;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2015;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2014;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2013;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2012;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2011;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2010;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2009;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2008;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2007;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2006;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2005;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2004;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2003;0;0;0;0;0;0;0;0;0;0;0;0;0
SOPR.PA;31/12/2002;0;0;0;0;0;0;0;0;0;0;0;0;0
AIR.PA;31/12/2022;1;0;0;0;0;0;0;1;0;0;0;0;1
AIR.PA;31/12/2021;2;0;0;0;0;0;0;0;0;0;0;0;0
AIR.PA;31/12/2020;0;0;0;0;0;0;0;0;0;0;0;0;0
AIR.PA;31/12/2019;0;0;3;0;0;0;0;0;0;0;0;0;0
AIR.PA;31/12/2018;0;0;0;1;0;0;0;0;0;0;0;0;0
AIR.PA;31/12/2017;1;0;0;0;0;0;0;0;0;0;0;0;0
AIR.PA;31/12/2016;1;0;0;0;0;0;0;0;0;0;0;0;0
