"field_code","label","data_type","pillar","category","polarity","unit","definition","definition_source"
"TR.TRESGScore","ESG Score","Numeric (0-100)","Overall","Overall ESG Score","Positive","Score 0–100","Measures a company's ESG performance based on verifiable reported data in the public domain. Percentile rank score 0–100 (plus letter grade D- to A+) calculated across 186 data points grouped into 10 categories. Environmental and Social categories benchmarked against TRBC industry group; Governance benchmarked against country of incorporation.","[M22]; [FS]"
"TR.TRESGScoreGrade","ESG Score Letter Grade","Text/Categorical","Overall","Overall ESG Score","Positive","Letter grade D- to A+","Letter grade equivalent of the ESG Score. Conversion: score ≤0.083 = D-; 0.083–0.167 = D; 0.167–0.250 = D+; 0.250–0.333 = C-; 0.333–0.417 = C; 0.417–0.500 = C+; 0.500–0.583 = B-; 0.583–0.667 = B; 0.667–0.750 = B+; 0.750–0.833 = A-; 0.833–0.917 = A; >0.917 = A+.","[M22]"
"TR.ESGCScore","ESG Combined Score (ESGC)","Numeric (0-100)","Overall","Overall ESG Score","Positive","Score 0–100","Provides a rounded and comprehensive evaluation of a company's ESG performance based on reported information in the ESG pillars, with an ESG controversies overlay captured from global media sources. When controversies score ≥ ESG score, ESGC = ESG score. When controversies score < ESG score, ESGC = average of ESG score and controversies score. The main objective is to discount the ESG performance score based on negative media stories.","[M22]; [FS]"
"TR.TRESGCScoreGrade","ESG Combined Score Letter Grade","Text/Categorical","Overall","Overall ESG Score","Positive","Letter grade D- to A+","Letter grade equivalent of the ESG Combined (ESGC) Score. Same conversion scale as TR.TRESGScoreGrade.","[M22]"
"TR.EnvironmentPillarScore","Environmental Pillar Score","Numeric (0-100)","Environmental","Environmental Pillar","Positive","Score 0–100","Relative sum of the Resource Use, Emissions, and Innovation category scores, weighted by industry-specific magnitude weights. Benchmarked against the TRBC industry group. Reflects a company's environmental performance, commitment, and effectiveness. Pillar weight = sum of its category weights; category scores multiplied by normalised category weights within the pillar.","[M22]"
"TR.SocialPillarScore","Social Pillar Score","Numeric (0-100)","Social","Social Pillar","Positive","Score 0–100","Relative sum of the Workforce, Human Rights, Community, and Product Responsibility category scores, weighted by industry-specific magnitude weights. Benchmarked against the TRBC industry group. Reflects a company's social performance, commitment, and effectiveness across its workforce, supply chain, and society.","[M22]"
"TR.GovernancePillarScore","Governance Pillar Score","Numeric (0-100)","Governance","Governance Pillar","Positive","Score 0–100","Relative sum of the Management, Shareholders, and CSR Strategy category scores. Unlike E and S, Governance is benchmarked against the company's country of incorporation, as best governance practices are more consistent within countries than across industries.","[M22]"
"TR.TRESGResourceUseScore","Resource Use Category Score","Numeric (0-100)","Environmental","Resource Use","Positive","Score 0–100","Reflects a company's performance and capacity to reduce the use of materials, energy or water, and to find more eco-efficient solutions by improving supply chain management. Percentile rank score within TRBC industry group.","[M19] Appendix; [M22]"
"TR.TRESGEmissionsScore","Emissions Category Score","Numeric (0-100)","Environmental","Emissions","Positive","Score 0–100","Measures a company's commitment and effectiveness towards reducing environmental emissions in its production and operational processes. Percentile rank score within TRBC industry group.","[M19] Appendix; [M22]"
"TR.TRESGWorkforceScore","Workforce Category Score","Numeric (0-100)","Social","Workforce","Positive","Score 0–100","Measures a company's effectiveness towards job satisfaction, a healthy and safe workplace, maintaining diversity and equal opportunities, and development opportunities for its workforce. Percentile rank score within TRBC industry group.","[M19] Appendix; [M22]"
