Instrument,Year,AsOfDate,Currency,MarketCap_EUR
SCHP.S,2014,2014-12-31,EUR,13373034030.8431
NTGY.MC,2014,2014-12-31,EUR,20824345186.21
ADEN.S,2014,2014-12-31,EUR,10070600573.0322
SPSN.S,2014,2014-12-31,EUR,3601600571.43543
SOF.BR,2014,2014-12-31,EUR,3019775305.4951
SSE.L,2014,2014-12-31,EUR,20622169021.1396
AAK.ST,2014,2014-12-31,EUR,1823289498.85584
SDR.L,2014,2014-12-31,EUR,9324758321.34945
SASY.PA,2014,2014-12-31,EUR,
NSISb.CO,2014,2014-12-31,EUR,11152740557.5605
CPG.L,2014,2014-12-31,EUR,19294914169.7939
EMSN.S,2014,2014-12-31,EUR,7700824111.14233
KBX.DE,2014,2014-12-31,EUR,
AIR.PA,2014,2014-12-31,EUR,32014006119.562
URW.PA,2014,2014-12-31,EUR,20868109222.95
LPPP.WA,2014,2014-12-31,EUR,3112230775.73251
FORTUM.HE,2014,2014-12-31,EUR,15496172805.5996
BAYGn.DE,2014,2014-12-31,EUR,93445106524.9207
QLT.L,2014,2014-12-31,EUR,
SAPG.DE,2014,2014-12-31,EUR,71181583118.6348
AAF.L,2014,2014-12-31,EUR,
LUNDb.ST,2014,2014-12-31,EUR,3545547868.24397
PEO.WA,2014,2014-12-31,EUR,10868773674.411
STMMI.MI,2014,2014-12-31,EUR,5668234786.125
PUIGb.MC,2014,2014-12-31,EUR,
SCHN.PA,2014,2014-12-31,EUR,35208715411.4888
DSV.CO,2014,2014-12-31,EUR,4526331208.45629
JD.L,2014,2014-12-31,EUR,1271671348.28808
GMAB.CO,2014,2014-12-31,EUR,2843934807.34085
SCYR.MC,2014,2014-12-31,EUR,1376434075.29171
EMII.MI,2014,2014-12-31,EUR,2685699475.54594
FTKn.DE,2014,2014-12-31,EUR,139938868.35
ENI.MI,2014,2014-12-31,EUR,53022763964.7
HUBN.S,2014,2014-12-31,EUR,812226290.22646
INDT.ST,2014,2014-12-31,EUR,1336153340.83498
AMV0n.DE,2014,2014-12-31,EUR,
KGH.WA,2014,2014-12-31,EUR,5066337630.08845
BCU.MI,2014,2014-12-31,EUR,1227400000.0
MAP.MC,2014,2014-12-31,EUR,8662783356.949
DLN.L,2014,2014-12-31,EUR,3830196626.72963
IG.MI,2014,2014-12-31,EUR,
SOGN.PA,2014,2014-12-31,EUR,28173657373.06
LOTB.BR,2014,2014-12-31,EUR,749211129.0
UCB.BR,2014,2014-12-31,EUR,12292757585.6
G1AG.DE,2014,2014-12-31,EUR,7045334421.6
GLEN.L,2014,2014-12-31,EUR,48132337035.7388
LOOMIS.ST,2014,2014-12-31,EUR,1708427588.51455
BMED.MI,2014,2014-12-31,EUR,
UHR.S,2014,2014-12-31,EUR,19912245812.5993
TPRO.MI,2014,2014-12-31,EUR,
LHAG.DE,2014,2014-12-31,EUR,6400137357.28666
DRX.L,2014,2014-12-31,EUR,2400377322.86323
BCVN.S,2014,2014-12-31,EUR,3854532820.71216
EQNR.OL,2014,2014-12-31,EUR,45548118168.2815
BKGH.L,2014,2014-12-31,EUR,3844240627.4931
BAWG.VI,2014,2014-12-31,EUR,
RAND.AS,2014,2014-12-31,EUR,8224705420.26
ANTO.L,2014,2014-12-31,EUR,9550195031.98083
VOWG_p.DE,2014,2014-12-31,EUR,86501125134.5
OREP.PA,2014,2014-12-31,EUR,77811797900.2
R3NK.DE,2014,2014-12-31,EUR,
ICAG.L,2014,2014-12-31,EUR,12758743460.1138
REP.MC,2014,2014-12-31,EUR,21369639521.6969
